id,clubId,name,age,bornDate,url
4189,106,Ivo Rodrigues,30,30/03/1995,https://www.transfermarkt.es/ivo-rodrigues/profil/spieler/215122
4190,106,Pablo Gozálbez,24,30/04/2001,https://www.transfermarkt.es/pablo-gozalbez/profil/spieler/622992
4191,106,Brian Mansilla,23,14/05/2002,https://www.transfermarkt.es/brian-mansilla/profil/spieler/981058
4192,106,Miguel Puche,24,30/04/2001,https://www.transfermarkt.es/miguel-puche/profil/spieler/632901
4193,106,Jason,30,06/07/1994,https://www.transfermarkt.es/jason/profil/spieler/263860
4194,106,Alfonso Trezza,26,22/06/1999,https://www.transfermarkt.es/alfonso-trezza/profil/spieler/741517
4195,106,Cristo,27,24/10/1997,https://www.transfermarkt.es/cristo/profil/spieler/339707
4196,106,Henrique Araújo,23,19/01/2002,https://www.transfermarkt.es/henrique-araujo/profil/spieler/617267
4197,106,Güven Yalçın,26,18/01/1999,https://www.transfermarkt.es/guven-yalcin/profil/spieler/341019
4198,106,Dylan Nandín,23,28/02/2002,https://www.transfermarkt.es/dylan-nandin/profil/spieler/862352
4199,106,Vladislav Morozov,24,12/10/2000,https://www.transfermarkt.es/vladislav-morozov/profil/spieler/662415
4200,107,Andrew,23,01/07/2001,https://www.transfermarkt.es/andrew/profil/spieler/610417
4201,107,Brian Araújo,25,29/04/2000,https://www.transfermarkt.es/brian-araujo/profil/spieler/695141
4202,107,Miloš Gordić,25,05/03/2000,https://www.transfermarkt.es/milos-gordic/profil/spieler/470788
4203,107,Marvin Elimbi,22,20/02/2003,https://www.transfermarkt.es/marvin-elimbi/profil/spieler/862628
4204,107,Jonathan Buatu,31,27/09/1993,https://www.transfermarkt.es/jonathan-buatu/profil/spieler/137313
4205,107,Felipe Silva,23,19/02/2002,https://www.transfermarkt.es/felipe-silva/profil/spieler/908236
4206,107,Josué Sá,33,17/06/1992,https://www.transfermarkt.es/josue-sa/profil/spieler/139341
4207,107,Rúben Fernandes,39,06/05/1986,https://www.transfermarkt.es/ruben-fernandes/profil/spieler/27178
4208,107,Carlos Ventura ,21,05/02/2004,https://www.transfermarkt.es/carlos-ventura/profil/spieler/1083084
4209,107,Sandro Cruz,24,12/05/2001,https://www.transfermarkt.es/sandro-cruz/profil/spieler/481627
4210,107,Kazu,25,18/03/2000,https://www.transfermarkt.es/kazu/profil/spieler/428993
4211,107,Zé Carlos,26,31/07/1998,https://www.transfermarkt.es/ze-carlos/profil/spieler/617679
4212,107,Jonathan Mutombo,22,27/08/2002,https://www.transfermarkt.es/jonathan-mutombo/profil/spieler/721952
4213,107,Mory Gbane,24,25/12/2000,https://www.transfermarkt.es/mory-gbane/profil/spieler/717585
4214,107,Mohamed Bamba,20,08/10/2004,https://www.transfermarkt.es/mohamed-bamba/profil/spieler/1178475
4215,107,Jesús Castillo,24,11/06/2001,https://www.transfermarkt.es/jesus-castillo/profil/spieler/658848
4216,107,Diogo Pereira,22,04/05/2003,https://www.transfermarkt.es/diogo-pereira/profil/spieler/1173054
4217,107,Gui Beleza,18,09/12/2006,https://www.transfermarkt.es/gui-beleza/profil/spieler/1292845
4218,107,Maxime Dominguez,29,01/02/1996,https://www.transfermarkt.es/maxime-dominguez/profil/spieler/207561
4219,107,Facundo Cáseres,24,28/05/2001,https://www.transfermarkt.es/facundo-caseres/profil/spieler/829434
4220,107,João Teixeira,31,06/02/1994,https://www.transfermarkt.es/joao-teixeira/profil/spieler/182710
4221,107,Yaya Sithole ,26,03/03/1999,https://www.transfermarkt.es/yaya-sithole/profil/spieler/401736
4222,107,Rodrigo Rodrigues,17,06/12/2007,https://www.transfermarkt.es/rodrigo-rodrigues/profil/spieler/1333982
4223,107,Kanya Fujimoto,25,01/07/1999,https://www.transfermarkt.es/kanya-fujimoto/profil/spieler/415525
4224,107,Santi García,23,29/08/2001,https://www.transfermarkt.es/santi-garcia/profil/spieler/732096
4225,107,Félix Correia,24,22/01/2001,https://www.transfermarkt.es/felix-correia/profil/spieler/479648
4226,107,João Marques,23,13/02/2002,https://www.transfermarkt.es/joao-marques/profil/spieler/891971
4227,107,Tidjany Touré,22,15/07/2002,https://www.transfermarkt.es/tidjany-toure/profil/spieler/641576
4228,107,Diego Collado,24,09/01/2001,https://www.transfermarkt.es/diego-collado/profil/spieler/566965
4229,107,Sergio Bermejo,27,17/08/1997,https://www.transfermarkt.es/sergio-bermejo/profil/spieler/372051
4230,107,Jordi Mboula,26,16/03/1999,https://www.transfermarkt.es/jordi-mboula/profil/spieler/331498
4231,107,Cauê,22,16/11/2002,https://www.transfermarkt.es/caue/profil/spieler/814268
4232,107,Pablo,21,02/01/2004,https://www.transfermarkt.es/pablo/profil/spieler/817665
